,Address,Latitude,Longitude,Zone,Total Distance
0,"Connaught Place, Delhi",28.6314022,77.2193791,0,82.34
1,"J 13, Mini Market, Delhi 110019",28.5845103,77.1920395,0,82.34
2,"1h/26, Nit, Delhi 121001",28.5681409,77.1987107,0,82.34
3,"Vasant Plaza, Near Subway, Munirka, Delhi 110067",28.554886,77.1710841,0,82.34
4,"K-35, Green Park, Delhi 110016",28.5555374,77.2024966,0,82.34
5,"34/1, Yusuf Sarai, Delhi 110016",28.559678,77.2077419690489,0,82.34
6,"23, New Market, Delhi 110007",28.5377121,77.2133844,0,82.34
7,"K 38, Shri Krishna Mkt Khirki, Malviya Nagar, Delhi 110017",28.5366155,77.2122199,0,82.34
8,"71 Scf-ii, Near Magpie, Sector 16a, Delhi 121001",28.5184574,77.22419134403279,0,82.34
9,"E 106, Jawahar Park, Sainik Farm, Delhi 110062",28.503746,77.21607253402124,0,82.34
10,"Mujesar, Delhi 121005",28.3661359,77.3066292,0,82.34
11,"J-12 Phase 2, Delhi 110024",28.5368963,77.2674135,0,82.34
12,"1 2nd Floor, Pocket H & J Commercial Complex, Delhi 110076",28.54194793986313,77.2817487422441,0,82.34
13,"88 D, Sukhdev Vihar Road, Delhi 110025",28.5597477,77.2749004,0,82.34
14,"C - 24/1, Jamia Nagar, Delhi 110025",28.56386655,77.28014937323283,0,82.34
15,"Plot No 3, Dabua Extn, Nit, Indl Area, Pali Road, Faridabad, Faridabad, Delhi 121001",28.5769233,77.2660263,0,82.34
16,"140, Bhagwan Nagar, Delhi 110014",28.57914175,77.25871661527904,0,82.34
17,"82 A, C Extension, Delhi 110096",28.58066145,77.25741170875536,0,82.34
18,"2318, Lodhi Road Complex, Lodhi Road, Delhi 110003",28.5905859,77.2245784,0,82.34
19,"32, Main, Lodhi Colony, Delhi 110003",28.586203,77.2268576,0,82.34
20,"D 374, Defence Colony, Delhi 110024",28.573149,77.2378907,0,82.34
21,"O - 17, Part 2, 17th Square, Lajpat Nagar, Delhi 110024",28.5692497,77.2388902,0,82.34
22,"26, Part 1, Community Centre 3rdth Floor, East Of Kailash, Delhi 110065",28.5621143,77.2555218,0,82.34
23,"B7, H 58-59, P S Estate, South Extn, Delhi 110049",28.5633766,77.2600597,0,82.34
24,"R 16, Main Road, Kalkaji, Delhi 110019",28.5603226,77.2667188,0,82.34
25,"Kalkaji, Delhi 110019",28.542546029,77.25490838464371,0,82.34
26,"C 16, Delhi 110001",28.54849475,77.23750210823171,0,82.34
27,"E 169, Masjid Moth, Delhi 110048",28.54045305,77.23575220000001,0,82.34
28,"J 1/162, Delhi 110027",28.52692315,77.25637382148926,0,82.34
