,Address,Latitude,Longitude,Zone,Page,Total Distance,Order
0,"Connaught Place, Delhi",28.6314022,77.2193791,3,0,101.28,0
1,"63-64, Main Market, Subzi Mandi, Delhi 110007",28.63551235,77.32148223170245,3,0,101.28,1
2,"787, Noida, Noida, Delhi 201301",28.6292302,77.38416795,3,0,101.28,2
3,"B-42, Patparganj Road, Near Paliwal Dharmshala, Guru Nanak Pura, Delhi 110092",28.6024541,77.3141628,3,0,101.28,3
4,"Maliwara, Vasant Marg, Opp Syndicate Bank, Ghaziabad, Ghaziabad, Delhi 201001",28.7387381,77.3143986,3,0,101.28,4
5,"D-5, Opp. Balaji Mandir, Vivek Vihar, Delhi 110095",28.6691641,77.31226695421603,3,0,101.28,5
6,"32d, Fruit Garden, Railway Road, Delhi 121001",28.6716769,77.3162988,3,0,101.28,6
7,"317 Phase 2, Pocket D, Delhi 110091",28.6039267,77.2903476,3,0,101.28,7
8,"G 90, Vijay Chowk, Laxmi Nagar, Delhi 110092",28.635087,77.2781101751352,3,0,101.28,8
9,"G 1, Ashish Complex, New Rajdhani Enclave, Delhi 110092",28.64177085,77.2941447628349,3,0,101.28,9
10,"Budh Vihar, Delhi 110041",28.6908619,77.2795338,3,0,101.28,10
11,"834, Shalimar Garden Extn 1, Sahibabad, Ghaziabad, Delhi 201001",28.6722772,77.3700121,3,0,101.28,11
12,"G 9, Part 2, Neel Kanth Chamber, Saini Enclave, Delhi 110092",28.6522939,77.30553030048932,3,0,101.28,12
13,"110 A 1st Floor, Delhi 110091",28.608135091203348,77.30101979939349,3,0,101.28,13
14,"Shahdara, Dilshad Garden, Delhi 110095",28.6777276,77.3232072,3,0,101.28,14
15,"Sh No 10, Opp Nirulas, Preet Vihar, Delhi 110092",28.6377532,77.2951746,3,0,101.28,15
16,"C 423, Nirman Vihar, Delhi 110092",28.6342214,77.28807698430413,3,0,101.28,16
17,"R-40, Vikas Marg Extn, Main Bus Stop, Shakarpur, Delhi 110092",28.6306797,77.2818984,3,0,101.28,17
18,"Connaught Place, Delhi",28.6314022,77.2193791,3,1,97.45,0
19,"B-42, Patparganj Road, Near Paliwal Dharmshala, Guru Nanak Pura, Delhi 110092",28.6024541,77.3141628,3,1,97.45,1
20,"787, Noida, Noida, Delhi 201301",28.6292302,77.38416795,3,1,97.45,2
21,"63-64, Main Market, Subzi Mandi, Delhi 110007",28.63551235,77.32148223170245,3,1,97.45,3
22,"Maliwara, Vasant Marg, Opp Syndicate Bank, Ghaziabad, Ghaziabad, Delhi 201001",28.7387381,77.3143986,3,1,97.45,4
23,"D-5, Opp. Balaji Mandir, Vivek Vihar, Delhi 110095",28.6691641,77.31226695421603,3,1,97.45,5
24,"32d, Fruit Garden, Railway Road, Delhi 121001",28.6716769,77.3162988,3,1,97.45,6
25,"317 Phase 2, Pocket D, Delhi 110091",28.6039267,77.2903476,3,1,97.45,7
26,"G 90, Vijay Chowk, Laxmi Nagar, Delhi 110092",28.635087,77.2781101751352,3,1,97.45,8
27,"G 1, Ashish Complex, New Rajdhani Enclave, Delhi 110092",28.64177085,77.2941447628349,3,1,97.45,9
28,"Budh Vihar, Delhi 110041",28.6908619,77.2795338,3,1,97.45,10
29,"834, Shalimar Garden Extn 1, Sahibabad, Ghaziabad, Delhi 201001",28.6722772,77.3700121,3,1,97.45,11
30,"G 9, Part 2, Neel Kanth Chamber, Saini Enclave, Delhi 110092",28.6522939,77.30553030048932,3,1,97.45,12
31,"110 A 1st Floor, Delhi 110091",28.608135091203348,77.30101979939349,3,1,97.45,13
32,"Shahdara, Dilshad Garden, Delhi 110095",28.6777276,77.3232072,3,1,97.45,14
33,"Sh No 10, Opp Nirulas, Preet Vihar, Delhi 110092",28.6377532,77.2951746,3,1,97.45,15
34,"C 423, Nirman Vihar, Delhi 110092",28.6342214,77.28807698430413,3,1,97.45,16
35,"R-40, Vikas Marg Extn, Main Bus Stop, Shakarpur, Delhi 110092",28.6306797,77.2818984,3,1,97.45,17
36,"Connaught Place, Delhi",28.6314022,77.2193791,3,2,92.53,0
37,"32d, Fruit Garden, Railway Road, Delhi 121001",28.6716769,77.3162988,3,2,92.53,1
38,"D-5, Opp. Balaji Mandir, Vivek Vihar, Delhi 110095",28.6691641,77.31226695421603,3,2,92.53,2
39,"Maliwara, Vasant Marg, Opp Syndicate Bank, Ghaziabad, Ghaziabad, Delhi 201001",28.7387381,77.3143986,3,2,92.53,3
40,"63-64, Main Market, Subzi Mandi, Delhi 110007",28.63551235,77.32148223170245,3,2,92.53,4
